property_type,price,location,city,baths,purpose,bedrooms,area_m2,Cluster
Flat,90000,Bath Island,Karachi,3,For Rent,3,225.0,Medium Affordable Properties
House,22000000,Qilla Gujjar Singh,Lahore,6,For Sale,5,126.0,Large Luxury Properties
House,5000000,Al-Raziq Garden,Lahore,3,For Sale,4,101.0,Large Luxury Properties
House,14500000,Tariq Gardens,Lahore,5,For Sale,5,126.0,Large Luxury Properties
House,18000000,North Karachi,Karachi,4,For Sale,4,121.0,Large Luxury Properties
Flat,10000000,F-11,Islamabad,2,For Sale,2,185.0,Medium Affordable Properties
Flat,2500000,Gadap Town,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
House,25000000,Bahria Town Rawalpindi,Rawalpindi,4,For Sale,4,253.0,Large Luxury Properties
Flat,30000,Gulistan-e-Jauhar,Karachi,3,For Rent,3,142.0,Medium Affordable Properties
Flat,25000000,Hill Park,Karachi,3,For Sale,3,263.0,Medium Affordable Properties
Flat,6800000,Shahrah-e-Pakistan,Karachi,2,For Sale,3,81.0,Medium Affordable Properties
Flat,3500000,Gulshan-e-Iqbal Town,Karachi,2,For Sale,2,81.0,Medium Affordable Properties
House,19000000,Bahria Town,Lahore,6,For Sale,5,253.0,Large Luxury Properties
House,13900000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,21000000,New Muslim Town,Lahore,4,For Sale,5,253.0,Large Luxury Properties
House,14500000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,121.0,Large Luxury Properties
House,21000000,Bahria Town,Lahore,6,For Sale,5,253.0,Large Luxury Properties
Lower Portion,42000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,253.0,Cheap Affordable Properties
House,5500000,Civil Lines,Faisalabad,2,For Sale,3,76.0,Large Luxury Properties
House,37000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,202.0,Large Luxury Properties
House,23000000,Allama Iqbal Town,Lahore,5,For Sale,5,253.0,Large Luxury Properties
House,3900000,Civil Lines,Faisalabad,3,For Sale,3,51.0,Large Luxury Properties
House,24000,F-17,Islamabad,3,For Rent,3,202.0,Large Luxury Properties
House,15000000,Dhok Elahi Baksh,Rawalpindi,6,For Sale,6,101.0,Large Luxury Properties
House,16500000,Gadap Town,Karachi,6,For Sale,5,202.0,Large Luxury Properties
Lower Portion,35000000,Al-Hilal Society,Karachi,4,For Sale,4,303.0,Cheap Affordable Properties
House,14000000,Soan Garden,Islamabad,7,For Sale,4,202.0,Large Luxury Properties
House,32000000,DHA Defence,Lahore,6,For Sale,5,253.0,Large Luxury Properties
House,13000000,Johar Town,Lahore,6,For Sale,5,126.0,Large Luxury Properties
House,26500000,DHA Defence,Lahore,5,For Sale,4,253.0,Large Luxury Properties
Flat,35000000,Frere Town,Karachi,3,For Sale,3,225.0,Medium Affordable Properties
Flat,18000,B-17,Islamabad,2,For Rent,2,111.0,Medium Affordable Properties
House,27000000,Gulshan-e-Ravi,Lahore,5,For Sale,5,253.0,Large Luxury Properties
Flat,3200000,H-13,Islamabad,1,For Sale,1,53.0,Medium Affordable Properties
Lower Portion,140000,F-7,Islamabad,1,For Rent,1,303.0,Cheap Affordable Properties
House,12000000,DHA 11 Rahbar,Lahore,4,For Sale,3,126.0,Large Luxury Properties
Flat,4715000,G-13,Islamabad,2,For Sale,2,129.0,Medium Affordable Properties
Flat,556000,Gadap Town,Karachi,2,For Sale,2,71.0,Medium Affordable Properties
House,14000000,Central Park Housing Scheme,Lahore,5,For Sale,5,253.0,Large Luxury Properties
House,11000000,Bahria Orchard,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,8500000,Bahria Town Karachi,Karachi,3,For Sale,3,126.0,Large Luxury Properties
House,12300000,Bahria Town,Lahore,4,For Sale,3,202.0,Large Luxury Properties
House,21800000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
Flat,6500000,North Nazimabad,Karachi,2,For Sale,3,111.0,Medium Affordable Properties
House,18000000,Scheme 33,Karachi,4,For Sale,4,121.0,Large Luxury Properties
Flat,16500,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,2,126.0,Medium Affordable Properties
Flat,4000000,Fazaia Housing Scheme,Karachi,3,For Sale,3,180.0,Medium Affordable Properties
Flat,40000,DHA Defence,Karachi,2,For Rent,2,106.0,Medium Affordable Properties
House,18100000,Gulraiz Housing Scheme,Rawalpindi,6,For Sale,6,253.0,Large Luxury Properties
Upper Portion,8000000,Kamran Chowrangi,Karachi,3,For Sale,3,202.0,Cheap Affordable Properties
House,11000000,Wapda Town,Lahore,5,For Sale,4,126.0,Large Luxury Properties
Lower Portion,60000,I-8,Islamabad,3,For Rent,3,303.0,Cheap Affordable Properties
House,18000000,Etawa Society,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,8500000,Military Accounts Housing Society,Lahore,3,For Sale,3,101.0,Large Luxury Properties
Flat,16000000,Baloch Colony,Karachi,3,For Sale,3,223.0,Medium Affordable Properties
House,4700000,Chakra Road,Rawalpindi,3,For Sale,2,124.0,Large Luxury Properties
House,4000000,Qadri Colony,Lahore,3,For Sale,3,63.0,Large Luxury Properties
Flat,22000000,DHA Defence,Karachi,3,For Sale,3,169.0,Medium Affordable Properties
House,6500000,Baghbanpura,Lahore,3,For Sale,6,126.0,Large Luxury Properties
Flat,5500000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,78.0,Medium Affordable Properties
House,14000000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,17000000,Bahria Town,Lahore,7,For Sale,5,253.0,Large Luxury Properties
Flat,4400000,F-17,Islamabad,2,For Sale,2,91.0,Medium Affordable Properties
Lower Portion,25000000,Gulistan-e-Jauhar,Karachi,4,For Sale,4,405.0,Cheap Affordable Properties
House,30000000,Civil Lines,Karachi,3,For Sale,3,162.0,Large Luxury Properties
Upper Portion,25000000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,169.0,Cheap Affordable Properties
House,12500000,State Life Housing Society,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,4800000,Misryal Road,Rawalpindi,3,For Sale,2,126.0,Large Luxury Properties
House,5500000,Salamatpura,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,45000,Bahria Town Rawalpindi,Rawalpindi,4,For Rent,4,202.0,Large Luxury Properties
House,15800000,Johar Town,Lahore,6,For Sale,5,126.0,Large Luxury Properties
Flat,85000,DHA Defence,Karachi,4,For Rent,4,192.0,Medium Affordable Properties
Flat,5800000,Bahria Town Rawalpindi,Rawalpindi,2,For Sale,2,142.0,Medium Affordable Properties
Flat,18000000,DHA Defence,Karachi,3,For Sale,3,162.0,Medium Affordable Properties
Flat,28000,Gulshan-e-Iqbal Town,Karachi,3,For Rent,3,129.0,Medium Affordable Properties
House,7500000,Ghauri Town,Islamabad,3,For Sale,2,152.0,Large Luxury Properties
House,13500000,Bahria Town Karachi,Karachi,3,For Sale,3,154.0,Large Luxury Properties
Lower Portion,70000,I-8,Islamabad,4,For Rent,5,253.0,Cheap Affordable Properties
Flat,15000000,Islamabad Expressway,Islamabad,3,For Sale,3,180.0,Medium Affordable Properties
House,4500000,DHA Defence,Islamabad,4,For Sale,3,202.0,Large Luxury Properties
House,15000000,Samanabad,Lahore,5,For Sale,5,126.0,Large Luxury Properties
House,26000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,5,303.0,Large Luxury Properties
House,9500000,Ghauri Town,Islamabad,4,For Sale,3,126.0,Large Luxury Properties
Lower Portion,30000,I-10,Islamabad,2,For Rent,2,152.0,Cheap Affordable Properties
House,5000000,Sadiqa Abad,Rawalpindi,4,For Sale,4,68.0,Large Luxury Properties
House,15800000,Bahria Town Karachi,Karachi,5,For Sale,4,354.0,Large Luxury Properties
House,5200000,Eden Gardens,Faisalabad,4,For Sale,3,63.0,Large Luxury Properties
House,21500000,Defence View Society,Karachi,5,For Sale,6,121.0,Large Luxury Properties
House,14000000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
Flat,7000000,Saddar Town,Karachi,2,For Sale,3,177.0,Medium Affordable Properties
House,2000000,Gadap Town,Karachi,2,For Sale,2,81.0,Large Luxury Properties
House,16500000,G-11,Islamabad,4,For Sale,4,101.0,Large Luxury Properties
House,11500000,North Karachi,Karachi,6,For Sale,3,121.0,Large Luxury Properties
Upper Portion,16500,Airport Housing Society,Rawalpindi,2,For Rent,2,126.0,Cheap Affordable Properties
House,7500000,Iqbal Park,Lahore,2,For Sale,2,76.0,Large Luxury Properties
House,2150000,Gadap Town,Karachi,1,For Sale,3,81.0,Large Luxury Properties
Flat,2800000,Bahria Town Rawalpindi,Rawalpindi,1,For Sale,1,68.0,Medium Affordable Properties
Flat,25000,Gulistan-e-Jauhar,Karachi,2,For Rent,2,111.0,Medium Affordable Properties
House,12500000,Gulshan Abad,Rawalpindi,5,For Sale,5,253.0,Large Luxury Properties
House,65000,Bahria Town Rawalpindi,Rawalpindi,6,For Rent,5,253.0,Large Luxury Properties
Flat,18000000,Clifton,Karachi,2,For Sale,2,149.0,Medium Affordable Properties
Flat,9800000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,162.0,Medium Affordable Properties
Flat,15000000,F-11,Islamabad,2,For Sale,2,149.0,Medium Affordable Properties
Flat,14500000,Bahria Town Karachi,Karachi,3,For Sale,3,185.0,Medium Affordable Properties
House,3500000,Adiala Road,Rawalpindi,2,For Sale,2,119.0,Large Luxury Properties
Flat,18000000,E-11,Islamabad,4,For Sale,3,212.0,Medium Affordable Properties
Flat,4000000,Allama Iqbal Town,Lahore,1,For Sale,2,89.0,Medium Affordable Properties
House,25000000,Faisal Town,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,48000,Bahria Town Rawalpindi,Rawalpindi,4,For Rent,4,177.0,Large Luxury Properties
House,11000000,FECHS,Islamabad,5,For Sale,4,202.0,Large Luxury Properties
Flat,7294000,River Garden,Islamabad,3,For Sale,3,116.0,Medium Affordable Properties
Upper Portion,62000,I-8,Islamabad,3,For Rent,3,253.0,Cheap Affordable Properties
House,31000000,Bahria Town,Islamabad,5,For Sale,5,253.0,Large Luxury Properties
House,16000000,Tariq Gardens,Lahore,4,For Sale,4,126.0,Large Luxury Properties
House,60000,Bahria Town,Islamabad,4,For Rent,3,126.0,Large Luxury Properties
Flat,38000,DHA Defence,Karachi,2,For Rent,2,101.0,Medium Affordable Properties
House,65000,Bahria Town Rawalpindi,Rawalpindi,6,For Rent,5,253.0,Large Luxury Properties
House,13500000,Soan Garden,Islamabad,5,For Sale,5,169.0,Large Luxury Properties
House,5200000,Shadab Garden,Lahore,3,For Sale,3,76.0,Large Luxury Properties
Flat,13500000,Askari,Lahore,3,For Sale,3,253.0,Medium Affordable Properties
Flat,7000000,DHA Defence,Karachi,2,For Sale,2,56.0,Medium Affordable Properties
House,8500000,Royal City,Islamabad,2,For Sale,3,152.0,Large Luxury Properties
Flat,8500000,Punjab Chowrangi,Karachi,3,For Sale,2,134.0,Medium Affordable Properties
House,22000000,Bahria Town Karachi,Karachi,6,For Sale,5,253.0,Large Luxury Properties
House,14500000,Green Avenue,Islamabad,5,For Sale,4,126.0,Large Luxury Properties
Upper Portion,50000,I-8,Islamabad,3,For Rent,3,253.0,Cheap Affordable Properties
House,13500000,Soan Garden,Islamabad,5,For Sale,5,152.0,Large Luxury Properties
House,14400000,Bahria Town Karachi,Karachi,3,For Sale,3,152.0,Large Luxury Properties
Upper Portion,45000,G-13,Islamabad,4,For Rent,3,276.0,Cheap Affordable Properties
Flat,10000000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,134.0,Medium Affordable Properties
Flat,17700000,Askari,Lahore,3,For Sale,3,278.0,Medium Affordable Properties
Flat,5000000,North Nazimabad,Karachi,2,For Sale,2,111.0,Medium Affordable Properties
House,25000000,Tariq Gardens,Lahore,5,For Sale,5,253.0,Large Luxury Properties
House,3500000,Girja Road,Rawalpindi,3,For Sale,2,126.0,Large Luxury Properties
Flat,6770000,Shadman 2,Karachi,2,For Sale,2,96.0,Medium Affordable Properties
House,7500000,BOR - Board of Revenue Housing Society,Lahore,3,For Sale,5,76.0,Large Luxury Properties
Flat,20000,Bahria Town Karachi,Karachi,2,For Rent,2,106.0,Medium Affordable Properties
House,14000000,Wapda Town,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,12000000,Bahria Town,Lahore,3,For Sale,3,126.0,Large Luxury Properties
Flat,4700000,Times Residency,Karachi,4,For Sale,2,111.0,Medium Affordable Properties
Flat,11000000,F-11,Islamabad,2,For Sale,2,185.0,Medium Affordable Properties
House,6200000,Al Rehman Garden,Lahore,3,For Sale,3,76.0,Large Luxury Properties
House,20000000,Federal B Area,Karachi,3,For Sale,3,121.0,Large Luxury Properties
Upper Portion,45000,Margalla Town,Islamabad,2,For Rent,2,235.0,Cheap Affordable Properties
House,13000000,CBR Town,Islamabad,6,For Sale,5,202.0,Large Luxury Properties
Lower Portion,25000,North Karachi,Karachi,2,For Rent,2,121.0,Cheap Affordable Properties
Flat,7000000,DHA Defence,Karachi,2,For Sale,2,111.0,Medium Affordable Properties
House,12000000,Ghauri Town,Islamabad,6,For Sale,6,126.0,Large Luxury Properties
Flat,6500000,Nazimabad,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
House,13600000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
Lower Portion,22000,G-11,Islamabad,1,For Rent,2,91.0,Cheap Affordable Properties
Upper Portion,45000,Korangi,Karachi,3,For Rent,3,243.0,Cheap Affordable Properties
Upper Portion,5600000,Scheme 33,Karachi,3,For Sale,3,121.0,Cheap Affordable Properties
Lower Portion,33000,Gulraiz Housing Scheme,Rawalpindi,2,For Rent,2,253.0,Cheap Affordable Properties
House,21600000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
Flat,12200000,Bahria Town Karachi,Karachi,3,For Sale,3,253.0,Medium Affordable Properties
House,5800000,Islamabad Highway,Rawalpindi,3,For Sale,2,126.0,Large Luxury Properties
Flat,7500000,Nazimabad,Karachi,3,For Sale,3,169.0,Medium Affordable Properties
House,25500000,G-9,Islamabad,4,For Sale,4,126.0,Large Luxury Properties
House,6642000,Fazaia Housing Scheme,Karachi,4,For Sale,3,126.0,Large Luxury Properties
House,23000000,Bahria Town,Lahore,5,For Sale,5,253.0,Large Luxury Properties
House,11800000,Johar Town,Lahore,5,For Sale,4,126.0,Large Luxury Properties
House,36000,Ghauri Town,Islamabad,4,For Rent,3,126.0,Large Luxury Properties
House,9200000,Al Rehman Garden,Lahore,3,For Sale,4,126.0,Large Luxury Properties
Lower Portion,32000,Gulraiz Housing Scheme,Rawalpindi,3,For Rent,3,253.0,Cheap Affordable Properties
Flat,14000000,Askari,Lahore,4,For Sale,3,253.0,Medium Affordable Properties
House,23000000,DHA Defence,Lahore,5,For Sale,4,177.0,Large Luxury Properties
House,11500000,Krishan Nagar,Lahore,3,For Sale,4,94.0,Large Luxury Properties
House,19500000,PIA Housing Scheme,Lahore,5,For Sale,5,253.0,Large Luxury Properties
Flat,3800000,Gadap Town,Karachi,2,For Sale,3,83.0,Medium Affordable Properties
House,21500000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,2000000,Ali Pur,Islamabad,2,For Sale,3,76.0,Large Luxury Properties
House,12000000,Ghauri Town,Islamabad,5,For Sale,5,142.0,Large Luxury Properties
House,6500000,Adiala Road,Rawalpindi,3,For Sale,2,152.0,Large Luxury Properties
Flat,13000000,Cantt,Karachi,3,For Sale,3,212.0,Medium Affordable Properties
Flat,50000,F-11,Islamabad,2,For Rent,2,185.0,Medium Affordable Properties
House,4100000,Manawan,Lahore,3,For Sale,3,76.0,Large Luxury Properties
